... loading data
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  -709.561
Pre-training layer 0, epoch 1, cost  -719.7
Pre-training layer 0, epoch 2, cost  -722.803
Pre-training layer 0, epoch 3, cost  -724.368
Pre-training layer 0, epoch 4, cost  -725.352
Pre-training layer 0, epoch 5, cost  -726.081
Pre-training layer 0, epoch 6, cost  -726.669
Pre-training layer 0, epoch 7, cost  -727.165
Pre-training layer 0, epoch 8, cost  -727.601
Pre-training layer 0, epoch 9, cost  -728.006
Pre-training layer 0, epoch 10, cost  -728.409
Pre-training layer 0, epoch 11, cost  -728.798
Pre-training layer 0, epoch 12, cost  -729.194
Pre-training layer 0, epoch 13, cost  -729.545
Pre-training layer 0, epoch 14, cost  -729.88
Pre-training layer 1, epoch 0, cost  -185.815
Pre-training layer 1, epoch 1, cost  -189.774
Pre-training layer 1, epoch 2, cost  -190.568
Pre-training layer 1, epoch 3, cost  -190.981
Pre-training layer 1, epoch 4, cost  -191.24
Pre-training layer 1, epoch 5, cost  -191.436
Pre-training layer 1, epoch 6, cost  -191.575
Pre-training layer 1, epoch 7, cost  -191.693
Pre-training layer 1, epoch 8, cost  -191.78
Pre-training layer 1, epoch 9, cost  -191.872
Pre-training layer 1, epoch 10, cost  -191.936
Pre-training layer 1, epoch 11, cost  -191.998
Pre-training layer 1, epoch 12, cost  -192.065
Pre-training layer 1, epoch 13, cost  -192.114
Pre-training layer 1, epoch 14, cost  -192.166
Pre-training layer 2, epoch 0, cost  -192.34
Pre-training layer 2, epoch 1, cost  -193.426
Pre-training layer 2, epoch 2, cost  -193.483
Pre-training layer 2, epoch 3, cost  -193.843
Pre-training layer 2, epoch 4, cost  -194.156
Pre-training layer 2, epoch 5, cost  -194.311
Pre-training layer 2, epoch 6, cost  -194.444
Pre-training layer 2, epoch 7, cost  -194.574
Pre-training layer 2, epoch 8, cost  -194.649
Pre-training layer 2, epoch 9, cost  -194.69
Pre-training layer 2, epoch 10, cost  -194.716
Pre-training layer 2, epoch 11, cost  -194.738
Pre-training layer 2, epoch 12, cost  -194.779
Pre-training layer 2, epoch 13, cost  -194.838
Pre-training layer 2, epoch 14, cost  -194.948
... getting the finetuning functions
The pretraining code for file SdA.py ran for 85.74m
... finetunning the model
epoch 1, minibatch 50000/50000, validation error 5.220000 %
     epoch 1, minibatch 50000/50000, test error of best model 6.380000 %
epoch 2, minibatch 50000/50000, validation error 4.400000 %
     epoch 2, minibatch 50000/50000, test error of best model 4.710000 %
epoch 3, minibatch 50000/50000, validation error 3.560000 %
     epoch 3, minibatch 50000/50000, test error of best model 3.840000 %
epoch 4, minibatch 50000/50000, validation error 3.880000 %
epoch 5, minibatch 50000/50000, validation error 3.530000 %
     epoch 5, minibatch 50000/50000, test error of best model 3.850000 %
epoch 6, minibatch 50000/50000, validation error 3.070000 %
     epoch 6, minibatch 50000/50000, test error of best model 3.360000 %
epoch 7, minibatch 50000/50000, validation error 3.000000 %
     epoch 7, minibatch 50000/50000, test error of best model 3.200000 %
epoch 8, minibatch 50000/50000, validation error 2.610000 %
     epoch 8, minibatch 50000/50000, test error of best model 2.650000 %
epoch 9, minibatch 50000/50000, validation error 2.760000 %
epoch 10, minibatch 50000/50000, validation error 2.770000 %
epoch 11, minibatch 50000/50000, validation error 3.070000 %
epoch 12, minibatch 50000/50000, validation error 2.510000 %
     epoch 12, minibatch 50000/50000, test error of best model 2.750000 %
epoch 13, minibatch 50000/50000, validation error 2.430000 %
     epoch 13, minibatch 50000/50000, test error of best model 2.550000 %
epoch 14, minibatch 50000/50000, validation error 2.490000 %
